tg,fa
Фурудгоҳи шаҳре лубнон-ворн,فرودگاه شهری لبنان-وارن
Фурудгоҳи шаҳре лубнон (нюҳмпшр),فرودگاه شهری لبنان (نیوهمپشر)
Фурудгоҳи шаҳре лугон (верҷенеё ғарбӣ),فرودگاه شهری لوگان (ویرجینیا غربی)
Фурудгоҳи шаҳре лугон (эл‌нуиз),فرودگاه شهری لوگان (ایلینوی)
Фурудгоҳи шаҳре лунг‌вилҳ,فرودگاه شهری لونگ‌ویله
Фурудгоҳи шаҳре люинг ис (тигзос),فرودگاه شهری لیوینگ استون (تگزاس)
Фурудгоҳи шаҳре лӯс,فرودگاه شهری لوس
Фурудгоҳи шаҳре лӯс бонус,فرودگاه شهری لوس بانوس
Фурудгоҳи шаҳре мак‌клуски,فرودگاه شهری مک‌کلوسکی
Фурудгоҳи шаҳре мак‌кол,فرودگاه شهری مک‌کال
Фурудгоҳи шаҳре мак‌мен‌вел,فرودگاه شهری مک‌مین‌ویل
Фурудгоҳи шаҳре мдино,فرودگاه شهری مدینا
"Фурудгоҳи шаҳре мепарӣ, Айдаҳо",فرودگاه شهری پری، آیداهو
"Фурудгоҳи шаҳре мепарӣ, овклоҳумо",فرودگاه شهری پری، اکلاهما
Фурудгоҳи шаҳре мешегон сетӣ е,فرودگاه شهری میشیگان سیتی
Фурудгоҳи шаҳре мидлтн,فرودگاه شهری میدلتن
Фурудгоҳи шаҳрии Миллинокет,فرودگاه شهری میلینوکت
Фурудгоҳи шаҳри Милака,فرودگاه شهری میلاکا
Фурудгоҳи шаҳре миоми,فرودگاه شهری میامی
Фурудгоҳи шаҳре млуил,فرودگاه شهری ملویل
Фурудгоҳи шаҳре ммфис,فرودگاه شهری ممفیس
Фурудгоҳи шаҳре мно оинтрмонтин,فرودگاه شهری منا اینترمانتین
Фурудгоҳи шаҳре мнумуни,فرودگاه شهری منومونی
Фурудгоҳи шаҳре монюмнт,فرودگاه شهری مانیومنت
Фурудгоҳи шаҳре моюил,فرودگاه شهری مایویل
Фурудгоҳи шаҳре мргон‌товн,فرودگاه شهری مرگان‌تاون
Фурудгоҳи шаҳре мридн моркм,فرودگاه شهری مریدن مارکم
Фурудгоҳи шаҳре мристовн,فرودگاه شهری مریستاون
Фурудгоҳи шаҳре мтрупулис,فرودگاه شهری متروپولیس
Фурудгоҳи шаҳре мубриҷ,فرودگاه شهری موبریج
Фурудгоҳи шаҳре мувтн филд,فرودگاه شهری مووتن فیلد
Фурудгоҳи шаҳре мунт,فرودگاه شهری مونت
Фурудгоҳи шаҳре мунтичлу (орконзос),فرودگاه شهری مونتیچلو (آرکانزاس)
Фурудгоҳи шаҳре мурҳд,فرودگاه شهری مورهد
Фурудгоҳи шаҳре мус ҷов,فرودگاه شهری موس جاو
Фурудгоҳи шаҳре номпо,فرودگاه شهری نامپا
Фурудгоҳи шаҳре нопл,فرودگاه شهری ناپل
Фурудгоҳи шаҳре ншуо,فرودگاه شهری نشوا
Фурудгоҳи шаҳре облин,فرودگاه شهری ابلین
Фурудгоҳи шаҳре обрдин,فرودگاه شهری ابردین
Фурудгоҳи шаҳре обрмос,فرودگاه شهری آبرماس
Фурудгоҳи шаҳре обрноти,فرودگاه شهری ابرناتی
Фурудгоҳи шаҳре обюил,فرودگاه شهری ابیویل
Фурудгоҳи шаҳре овбурн луистун,فرودگاه شهری اوبورن/لویستون
Фурудгоҳи шаҳре овмотило,فرودگاه شهری اوماتیلا
Фурудгоҳи шаҳре овнил,فرودگاه شهری اونیل
Фурудгоҳи шаҳре овнионто,فرودگاه شهری اونیانتا
Фурудгоҳи шаҳре овокз,فرودگاه شهری اواکز
Фурудгоҳи шаҳре оворт,فرودگاه شهری اوارت
Фурудгоҳи шаҳре оврико,فرودگاه شهری اوریکا
Фурудгоҳи шаҳре оврмунд бич,فرودگاه شهری اورموند بیچ
Фурудгоҳи шаҳре оврнҷ,فرودگاه شهری اورنج
Фурудгоҳи шаҳре оврувил,فرودگاه شهری اوروویل
Фурудгоҳи шаҳрии Освего,فرودگاه شهری اوسوگو
Фурудгоҳи шаҳре овтов,فرودگاه شهری اوتاو
Фурудгоҳи шаҳре овтово,فرودگاه شهری اوتاوا
Фурудгоҳи шаҳре овшнсоид,فرودگاه شهری اوشنساید
Фурудгоҳи шаҳре огусто,فرودگاه شهری آگوستا
Фурудгоҳи шаҳре одгли,فرودگاه شهری ادگلی
Фурудгоҳи шаҳре одисун,فرودگاه شهری آدیسون
Фурудгоҳи шаҳре оигнис,فرودگاه شهری ایگنیس
Фурудгоҳи шаҳре оидо,فرودگاه شهری ایدا
Фурудгоҳи шаҳре оикн,فرودگاه شهری ایکن
Фурудгоҳи шаҳре оилизбттн,فرودگاه شهری ایلیزبتتن
Фурудгоҳи шаҳре оимз,فرودگاه شهری ایمز
Фурудгоҳи шаҳре оиндионоплис,فرودگاه شهری ایندیاناپلیس
Фурудгоҳи шаҳри Индианола,فرودگاه شهری ایندیانولا
Фурудгоҳи шаҳре оиндипнднс (Аёва),فرودگاه شهری ایندیپندنس (آیووا)
Фурудгоҳи шаҳре оиндипнднс (Канзас),فرودگاه شهری ایندیپندنس (کانزاس)
Фурудгоҳи шаҳре оинсуврт,فرودگاه شهری اینسوورت
Фурудгоҳи шаҳре оистпурт,فرودگاه شهری ایستپورت
Фурудгоҳи шаҳре оиткин,فرودگاه شهری ایتکین
Фурудгоҳи шаҳре олбион,فرودگاه شهری آلبیون
Фурудгоҳи шаҳре олбирт лӣ,فرودگاه شهری آلبرت لی
Фурудгоҳи шаҳре олбонӣ (овргон),فرودگاه شهری آلبانی (اورگان)
Фурудгоҳи шаҳре олбонӣ (тигзос),فرودگاه شهری آلبانی (تگزاس)
Фурудгоҳи шаҳре олгуно,فرودگاه شهری آلگونا
Фурудгоҳи шаҳре олин товн куин сетӣ е,فرودگاه شهری الن‌تاون کوین سیتی
Фурудгоҳи шаҳре олионс,فرودگاه شهری الیانس
Фурудгоҳи шаҳре олкин,فرودگاه شهری الکین
Фурудгоҳи шаҳре олкорт,فرودگاه شهری الکارت
Фурудгоҳи шаҳре олмиро,فرودگاه شهری المیرا
Фурудгоҳи шаҳре олпин-кос порес,فرودگاه شهری الپین–کاس پاریس
Фурудгоҳи шаҳре олтувно,فرودگاه شهری آلتوونا
Фурудгоҳи шаҳре олтурос,فرودگاه شهری التوراس
Фурудгоҳи шаҳре омпурио,فرودگاه شهری امپوریا
Фурудгоҳи шаҳре он орбр,فرودگاه شهری آن آربور
Фурудгоҳи шаҳре ондрсн,فرودگاه شهری اندرسن
Фурудгоҳи шаҳре онито,فرودگاه شهری انیتا
Фурудгоҳи шаҳре онтлр,فرودگاه شهری انتلر
Фурудгоҳи шаҳре онторю,فرودگاه شهری انتاریو
Фурудгоҳи шаҳре онтрпроиз (Алабама),فرودگاه شهری انترپرایز (آلاباما)
Фурудгоҳи шаҳре онтрпроиз (овргон),فرودگاه شهری انترپرایز (اورگان)
Фурудгоҳи шаҳре онтунӣ,فرودگاه شهری آنتونی
Фурудгоҳи шаҳре ордмур,فرودگاه شهری آردمور
Фурудгоҳи шаҳре ори,فرودگاه شهری اری
Фурудгоҳи шаҳрии Эриксон,فرودگاه شهری اریکسون
Фурудгоҳи шаҳре оркидио,فرودگاه شهری آرکیدیا
Фурудгоҳи шаҳре орлингтун (Орегон),فرودگاه شهری آرلینگتون (اورگن)
Фурудгоҳи шаҳре орлингтун (вошангтун),فرودگاه شهری آرلینگتون (واشینگتن)
Фурудгоҳи шаҳре орлингтун (дкут ҷанубе),فرودگاه شهری آرلینگتون (داکوتای جنوبی)
Фурудгоҳи шаҳре орлингтун (тигзос),فرودگاه شهری آرلینگتون (تگزاس)
Фурудгоҳи шаҳре оропҳу,فرودگاه شهری آراپهو
Фурудгоҳи шаҳре ортизо,فرودگاه شهری آرتیزا
Фурудгоҳи шаҳре оспнср,فرودگاه شهری اسپنسر
Фурудгоҳи шаҳре оспрингдил,فرودگاه شهری اسپرینگدیل
Фурудгоҳи шаҳре оспрингр,فرودگاه شهری اسپرینگر
Фурудгоҳи шаҳре оспрингуил,فرودگاه شهری اسپرینگویل
Фурудгоҳи шаҳре остинсун,فرودگاه شهری استینسون
Фурудгоҳи шаҳре остн,فرودگاه شهری استن
Фурудгоҳи шаҳре остротфурд,فرودگاه شهری استراتفورد
Фурудгоҳи шаҳре остунингтун,فرودگاه شهری استونینگتون
Фурудгоҳи шаҳре остургис (Дакотаи Ҷанубӣ),فرودگاه شهری استورگیس (داکوتای جنوبی)
Фурудгоҳи шаҳре остургис (Кентуккӣ),فرودگاه شهری استورگیس (کنتاکی)
Фурудгоҳи шаҳре остюнс пуинт,فرودگاه شهری استیونس پوینت
Фурудгоҳи шаҳре отлнтик,فرودگاه شهری اتلنتیک
Фурудгоҳи шаҳре отмур,فرودگاه شهری اتمور
Фурудгоҳи шаҳре отунио,فرودگاه شهری اتونیا
Фурудгоҳи шаҳре офрто,فرودگاه شهری افرتا
Фурудгоҳи шаҳре офтун,فرودگاه شهری آفتون
Фурудгоҳи шаҳре ош‌лнд,فرودگاه شهری اش‌لند
Фурудгоҳи шаҳре пикс,فرودگاه شهری پیکس
Фурудгоҳи шаҳре пиҷ,فرودگاه شهری پیج
Фурудгоҳи шаҳре пкин,فرودگاه شهری پکین
Фурудгоҳи шаҳре пликон рпидз,فرودگاه شهری پلیکان رپیدز
"Фурудгоҳи шаҳре плимус, Каролинаи Шимолӣ",فرودگاه شهری پلیموث، کارولینای شمالی
"Фурудгоҳи шаҳре плимус, мосочусит",فرودگاه شهری پلیموث، ماساچوست
"Фурудгоҳи шаҳре плимус, нейӯ ҳмпшоир",فرودگاه شهری پلیموث، نیو همپشایر
Фурудгоҳи шаҳре плошс,فرودگاه شهری پلاشس
Фурудгоҳи шаҳре плтуил,فرودگاه شهری پلتویل
Фурудгоҳи шаҳре поин ҳил,فرودگاه شهری پاین هیل
Фурудгоҳи шаҳре поипстун,فرودگاه شهری پایپستون
Фурудгоҳи шаҳре полмр,فرودگاه شهری پالمر
Фурудгоҳи шаҳре полотко,فرودگاه شهری پالاتکا
Фурудгоҳи шаҳре посу рублс,فرودگاه شهری پاسو روبلس
"Фурудгоҳи шаҳре принстн, мен",فرودگاه شهری پرینستن، مین
"Фурудгоҳи шаҳре принстн, минҳ‌суто",فرودگاه شهری پرینستن، مینه‌سوتا
Фурудгоҳи шаҳре провинстовн,فرودگاه شهری پراوینستاون
Фурудгоҳи шаҳре прри ду шен,فرودگاه شهری پرری دو شین
Фурудгоҳи шаҳре прув,فرودگاه شهری پروو
Фурудгоҳи шаҳре прюил,فرودگاه شهری پریویل
Фурудгоҳи шаҳре пул виндл,فرودگاه شهری پل ویندل
Фурудгоҳи шаҳре пуртолс,فرودگاه شهری پورتالس
Фурудгоҳи шаҳре пуртруил,فرودگاه شهری پورترویل
Фурудгоҳи шаҳре путс‌дом,فرودگاه شهری پوتس‌دام
Фурудгоҳи шаҳре путс‌товн,فرودگاه شهری پوتس‌تاون
Фурудгоҳи шаҳре рад блоф,فرودگاه شهری رد بلاف
Фурудгоҳи шаҳре рад овк,فرودگاه شهری رد اوک
Фурудгоҳи шаҳре рдинг,فرودگاه شهری ردینگ
Фурудгоҳи шаҳре рдлндз,فرودگاه شهری ردلندز
Фурудгоҳи шаҳре рею весто,فرودگاه شهری ریو ویستا
Фурудгоҳи шаҳре ридли,فرودگاه شهری ریدلی
Фурудгоҳи шаҳре риолту,فرودگاه شهری ریالتو
Фурудгоҳи шаҳре ритун,فرودگاه شهری ریتون
Фурудгоҳи шаҳре ричлнд,فرودگاه شهری ریچلند
Фурудгоҳи шаҳре рнтун,فرودگاه شهری رنتون
Фурудгоҳи шаҳре робирт мулр,فرودگاه شهری رابرت مولر
Фурудгоҳи шаҳре ровлинз,فرودگاه شهری راولینز
Фурудгоҳи шаҳре рокувд,فرودگاه شهری راکوود
Фурудгоҳи шаҳре рослуил,فرودگاه شهری راسلویل
Фурудгоҳи шаҳри Роҷерз,فرودگاه شهری راجرز
Фурудгоҳи шаҳре руонук,فرودگاه شهری روانوک
Фурудгоҳи шаҳре ручл,فرودگاه شهری روچل
Фурудгоҳи шаҳре рюрсоид,فرودگاه شهری ریورساید
Фурудгоҳи шаҳре седнӣ-ричлнд,فرودگاه شهری سیدنی–ریچلند
Фурудгоҳи шаҳре седнӣ (Небраска),فرودگاه شهری سیدنی (نبراسکا)
Фурудгоҳи шаҳре сикстун ммуриол,فرودگاه شهری سیکستون مموریال
Фурудгоҳи шаҳре силогуо,فرودگاه شهری سیلاگوا
Фурудгоҳи шаҳре симрон,فرودگاه شهری سیمران
Фурудгоҳи шаҳре синснти лункн,فرودگاه شهری سینسنتی لونکن
Фурудгоҳи шаҳре синт морис,فرودگاه شهری سینت ماریس
Фурудгоҳи шаҳре сиро весто,فرودگاه شهری سیرا ویستا
Фурудгоҳи шаҳре снтр,فرودگاه شهری سنتر
Фурудгоҳи шаҳре снтруил (оюво),فرودگاه شهری سنترویل (ایووا)
Фурудгоҳи шаҳре снтруил (тинисӣ),فرودگاه شهری سنترویل (تنسی)
Фурудгоҳи шаҳре соҳил фрнондино,فرودگاه شهری ساحل فرناندینا
Фурудгоҳи шаҳре сулфур оспрингз,فرودگاه شهری سولفور اسپرینگز
Фурудгоҳи шаҳре суннат ҷурҷ,فرودگاه شهری سنت جورج
Фурудгоҳи шаҳре суннат ҷурҷ (1972-2010),فرودگاه شهری سنت جورج (۱۹۷۲–۲۰۱۰)
Фурудгоҳи шаҳре сӯят бриҷ,فرودگاه شهری سوت‌بریج
Фурудгоҳи шаҳре сӯят остин повил,فرودگاه شهری سوت استین پاول
Фурудгоҳи шаҳре табалвур,فرودگاه شهری تیلور
Фурудгоҳи шаҳре тикундруго,فرودگاه شهری تیکوندروگا
Фурудгоҳи шаҳре товр,فرودگاه شهری تاور
Фурудгоҳи шаҳре тонтун,فرودگاه شهری تانتون
Фурудгоҳи шаҳре тпҳнк,فرودگاه شهری تپهنک
Фурудгоҳи шаҳре триси (колефурнеё),فرودگاه شهری تریسی (کالیفرنیا)
Фурудгоҳи шаҳре триси (минҳ‌суто),فرودگاه شهری تریسی (مینه‌سوتا)
Фурудгоҳи шаҳре трл,فرودگاه شهری ترل
Фурудгоҳи шаҳре трлок,فرودگاه شهری ترلاک
Фурудгоҳи шаҳре трнтун (Небраска),فرودگاه شهری ترنتون (نبراسکا)
Фурудгоҳи шаҳре трнтун (мизури),فرودگاه شهری ترنتون (میزوری)
Фурудгоҳи шаҳре тртл лик,فرودگاه شهری ترتل لیک
Фурудгоҳи шаҳре труи,فرودگاه شهری تروی
Фурудгоҳи шаҳре трут ор консикуеҳнсз,فرودگاه شهری تروت ار کانسیکوئنسز
Фурудгоҳи шаҳре тсолун,فرودگاه شهری تسالون
Фурудгоҳи шаҳре туеҳисп,فرودگاه شهری توئیسپ
Фурудгоҳи шаҳри Толедо,فرودگاه شهری تولدو
Фурудгоҳи шаҳре тунико,فرودگاه شهری تونیکا
Фурудгоҳи шаҳре тҳочопи,فرودگاه شهری تهاچاپی
Фурудгоҳи шаҳре фар‌ман,فرودگاه شهری فری‌من
Фурудгоҳи шаҳре фелодилфеё,فرودگاه شهری فیلادلفیا
Фурудгоҳи шаҳре филмур,فرودگاه شهری فیلمور
Фурудгоҳи шаҳре фиридрек (Мэриленд),فرودگاه شهری فردریک (مریلند)
Фурудгоҳи шаҳре фирмунт (митҳ‌суто),فرودگاه شهری فیرمونت (میته‌سوتا)
Фурудгоҳи шаҳре фирфилд (оюо),فرودگاه شهری فیرفیلد (آیوا)
Фурудгоҳи шаҳре фирҳюн,فرودگاه شهری فیرهیون
Фурудгоҳи шаҳре фитчбрг,فرودگاه شهری فیتچبرگ
Фурудгоҳи шаҳре флуроло,فرودگاه شهری فلورالا
Фурудгоҳи шаҳре форст сетӣ е (шарқ),فرودگاه شهری فارست سیتی (شرق)
Фурудгоҳи шаҳре форст сетӣ е (шимол),فرودگاه شهری فارست سیتی (شمال)
Фурудгоҳи шаҳре фргс фолз,فرودگاه شهری فرگس فالز
Фурудгоҳи шаҳре фримунт (мешегон),فرودگاه شهری فریمونت (میشیگان)
Фурудгоҳи шаҳре фримунт (нбрско),فرودگاه شهری فریمونت (نبرسکا)
Фурудгоҳи шаҳре фрнч лик,فرودگاه شهری فرنچ لیک
Фурудгоҳи шаҳре фулртн,فرودگاه شهری فولرتن
Фурудгоҳи шаҳре фурли,فرودگاه شهری فورلی
Фурудгоҳи шаҳре фурт искот,فرودگاه شهری فورت اسکات
Фурудгоҳи шаҳре фурт сомнр,فرودگاه شهری فورت سامنر
Фурудгоҳи шаҳре фурт фронсс,فرودگاه شهری فورت فرانسس
Фурудгоҳи шаҳре чиксу,فرودگاه شهری چیکسو
Фурудгоҳи шаҳре чику,فرودگاه شهری چیکو
Фурудгоҳи шаҳре чилдрс,فرودگاه شهری چیلدرس
Фурудгоҳи шаҳре чинл,فرودگاه شهری چینل
Фурудгоҳи шаҳре чндлр,فرودگاه شهری چندلر
Фурудгоҳи шаҳре чодрун,فرودگاه شهری چادرون
Фурудгоҳи шаҳре чон грни,فرودگاه شهری چان گرنی
Фурудгоҳи шаҳри Чатем,فرودگاه شهری چتم
Фурудгоҳи шаҳре шарқ суннат луис,فرودگاه شهری شرق سنت لویس
Фурудгоҳи шаҳре шаҳр оврнҷ,فرودگاه شهری شهر اورنج
Фурудгоҳи шаҳре шовону,فرودگاه شهری شاوانو
Фурудгоҳи шаҳре шул лик,فرودگاه شهری شل لیک
Фурудгоҳи шаҳре шул‌б‌вел (Индиана),فرودگاه شهری شل‌بای‌ویل (ایندیانا)
Фурудгоҳи шаҳре шул‌б‌вел (тинисӣ),فرودگاه شهری شل‌بای‌ویل (تنسی)
Фурудгоҳи шаҳре эл,فرودگاه شهری ایلی
Фурудгоҳи шаҳре юкио,فرودگاه شهری یوکیا
Фурудгоҳи шаҳре юмо,فرودگاه شهری یوما
Фурудгоҳи шаҳре юрктн,فرودگاه شهری یورکتن
Фурудгоҳи шаҳре ҳил сетӣ е,فرودگاه شهری هیل سیتی
Фурудгоҳи шаҳрии Ҳилзборо (Дакотаи Шимолӣ),فرودگاه شهری هیلزبرو (داکوتای شمالی)
Фурудгоҳи шаҳре ҳилзбру (тигзос),فرودگاه شهری هیلزبرو (تگزاس)
Фурудгоҳи шаҳре ҳмилтун (неююрк),فرودگاه شهری همیلتون (نیویورک)
Фурудгоҳи шаҳре ҳмилтун (тигзос),فرودگاه شهری همیلتون (تگزاس)
Фурудгоҳи шаҳре ҳмнтун,فرودگاه شهری همنتون
Фурудгоҳи шаҳре ҳнкок,فرودگاه شهری هنکاک
Фурудгоҳи шаҳре ҳолбрук,فرودگاه شهری هالبروک
Фурудгоҳи шаҳре ҳолистр,فرودگاه شهری هالیستر
Фурудгоҳи шаҳре ҳомбулт,فرودگاه شهری هامبولت
Фурудгоҳи шаҳре ҳонтингтн (Индиана),فرودگاه شهری هانتینگتن (ایندیانا)
Фурудгоҳи шаҳрии Ҳантингтон (Юта),فرودگاه شهری هانتینگتن (یوتا)
Фурудгоҳи шаҳре ҳонтсуил (орконзос),فرودگاه شهری هانتسویل (آرکانزاس)
Фурудгоҳи шаҳре ҳукр,فرودگاه شهری هوکر
Фурудгоҳи шаҳре ҳуп,فرودگاه شهری هوپ
Фурудгоҳи шаҳре ҷак борсту,فرودگاه شهری جک بارستو
Фурудгоҳи шаҳре ҷиймз клмнт,فرودگاه شهری جیمز کلمنت
Фурудгоҳи шаҳре ҷксн (Алабама),فرودگاه شهری جکسن (آلاباما)
Фурудгоҳи шаҳре ҷксн (минҳ‌суто),فرودگاه شهری جکسن (مینه‌سوتا)
Фурудгоҳи шаҳре ҷри сомрз сар. овруро,فرودگاه شهری جری سامرز سر. اورورا
Фурудгоҳи шаҳре ҷунзбуру,فرودگاه شهری جونزبورو
Фурудгоҳи шаҳре ҷурҷ баст блфост,فرودگاه شهری جورج بست بلفاست
Фурудгоҳи шаҳре ҷурҷ товн,فرودگاه شهری جرج‌تاون
Фурудгоҳи шаҳри Флоренс,فرودگاه شهری فلورنس
Фурудгоҳи шаҳристон Айдаҳо,فرودگاه شهرستان آیداهو
Фурудгоҳи шаҳристон Индиана-ҷемӣ е истӯорт,فرودگاه شهرستان ایندیانا-جیمی استوارت
Фурудгоҳи шаҳристон бдфрд,فرودگاه شهرستان بدفرد
Фурудгоҳи шаҳристони Бай Минете,فرودگاه شهرستان بی مینت
Фурудгоҳи шаҳристон бе сетӣ е,فرودگاه شهرستان بی سیتی
Фурудгоҳи шаҳристон биркилӣ,فرودگاه شهرستان برکلی
Фурудгоҳи шаҳристон борнт,فرودگاه شهرستان بارنت
Фурудгоҳи шаҳристон брдфурд,فرودگاه شهرستان بردفورد
Фурудгоҳи шаҳристон брув,فرودگاه شهرستان بروو
Фурудгоҳи шаҳристон бувфрт,فرودگاه شهرستان بووفرت
Фурудгоҳи шаҳристон бюр,فرودگاه شهرستان بیور
Фурудгоҳи шаҳристон бӯн (Индиана),فرودگاه شهرستان بون (ایندیانا)
Фурудгоҳи шаҳристон бӯн (орконзос),فرودگاه شهرستان بون (آرکانزاس)
Фурудгоҳи шаҳристон гарӣ,فرودگاه شهرستان گریت
Фурудгоҳи шаҳристон ггбик-оирн,فرودگاه شهرستان گگبیک-آیرن
Фурудгоҳи шаҳристон грили-влд,فرودگاه شهرستان گریلی–ولد
Фурудгоҳи шаҳристон гринли,فرودگاه شهرستان گرینلی
Фурудгоҳи шаҳристон гринувд,فرودگاه شهرستان گرینوود
Фурудгоҳи шаҳристон грнд мороис кӯк,فرودگاه شهرستان گرند مارایس/کوک
Фурудгоҳи шаҳристон грнд рпид–оитско,فرودگاه شهرستان گرند رپید–آیتسکا
Фурудгоҳи шаҳристон грнт,فرودگاه شهرستان گرنت
Фурудгоҳи шаҳристон дил нӯрат,فرودگاه شهرستان دل نورت
Фурудгоҳи шаҳристон доглос орезуно,فرودگاه شهرستان داگلاس آریزونا
Фурудгоҳи шаҳристон доглос Ҷорҷия,فرودگاه شهرستان داگلاس جورجیا
Фурудгоҳи шаҳристон друмҳлр,فرودگاه شهرستان درومهلر
Фурудгоҳи шаҳристон дувогиок,فرودگاه شهرستان دوواگیاک
Фурудгоҳи шаҳристон дунлун морюн,فرودگاه شهرستان دونلون/ماریون
Фурудгоҳи шаҳристон дунпурт (Аёва),فرودگاه شهرستان دونپورت (آیووا)
Фурудгоҳи шаҳристон дуплин,فرودگاه شهرستان دوپلین
Фурудгоҳи шаҳристон дуронгу-ло плото,فرودگاه شهرستان دورانگو-لا پلاتا
Фурудгоҳи шаҳристон дутчс,فرودگاه شهرستان دوتچس
Фурудгоҳи шаҳристон жилт-кмпбл,فرودگاه شهرستان ژیلت–کمپبل
Фурудгоҳи шаҳристон камбреҷ (Небраска),فرودگاه شهرستان کمبریج (نبراسکا)
Фурудгоҳи шаҳристон камбреҷ (Огаё),فرودگاه شهرستان کمبریج (اوهایو)
Фурудгоҳи шаҳристон камбреҷ (минҳ‌суто),فرودگاه شهرستان کمبریج (مینه‌سوتا)
Фурудгоҳи шаҳристон клбрг,فرودگاه شهرستان کلبرگ
Фурудгоҳи шаҳристон кмнчи,فرودگاه شهرستان کمنچی
Фурудгоҳи шаҳристон ковнти,فرودگاه شهرستان کاونتی
Фурудгоҳи шаҳристон коловрос,فرودگاه شهرستان کالاوراس
Фурудгоҳи шаҳристон куиоҳуго,فرودگاه شهرستان کویاهوگا
Фурудгоҳи шаҳристон кулбрсун,فرودگاه شهرستان کولبرسون
Фурудгоҳи шаҳристон кулузо,فرودگاه شهرستان کولوزا
Фурудгоҳи шаҳристон кулумбеё,فرودگاه شهرستان کلمبیا
Фурудгоҳи шаҳристон куритук,فرودگاه شهرستان کوریتوک
Фурудгоҳи шаҳристон либрти (Монтана),فرودگاه شهرستان لیبرتی (مونتانا)
Фурудгоҳи шаҳристон лин ҳлмз суир,فرودگاه شهرستان لین هلمز سویر
Фурудгоҳи шаҳристон литл фолз мрисун,فرودگاه شهرستان لیتل فالز/مریسون
Фурудгоҳи шаҳристон ло гронд овнин,فرودگاه شهرستان لا گراند/اونین
Фурудгоҳи шаҳристон лов,فرودگاه شهرستان لاو
Фурудгоҳи шаҳристон луеҳизо,فرودگاه شهرستان لوئیزا
Фурудгоҳи шаҳристон лӯс оломус,فرودگاه شهرستان لوس آلاموس
Фурудгоҳи шаҳристон мак‌крри,فرودگاه شهرستان مک‌کرری
Фурудгоҳи шаҳристон мак‌мен,فرودگاه شهرستان مک‌مین
Фурудгоҳи шаҳристон мовнт острлинг-мунтгумри,فرودگاه شهرستان ماونت استرلینگ-مونتگومری
Фурудгоҳи шаҳристон овбрн,فرودگاه شهرستان اوبرن
Фурудгоҳи шаҳристон овнидо,فرودگاه شهرستان اونیدا
Фурудгоҳи шаҳристон оврнҷ (неююрк),فرودگاه شهرستان اورنج (نیویورک)
Фурудгоҳи шаҳристон оврнҷ (тигзос),فرودگاه شهرستان اورنج (تگزاس)
Фурудгоҳи шаҳристон одгр,فرودگاه شهرستان ادگر
Фурудгоҳи шаҳристон одомз,فرودگاه شهرستان آدامز
Фурудгоҳи шаҳристон оимприол,فرودگاه شهرستان ایمپریال
Фурудгоҳи шаҳристон олигини,فرودگاه شهرستان آلیگینی
Фурудгоҳи шаҳристон олин,فرودگاه شهرستان آلن
Фурудгоҳи шаҳристон олпоин,فرودگاه شهرستان آلپاین
Фурудгоҳи шаҳристон олтуно-блоир,فرودگاه شهرستان آلتونا-بلایر
Фурудгоҳи шаҳристон омодур,فرودگاه شهرستان آمادور
Фурудгоҳи шаҳристон ондруз (тигзос),فرودگاه شهرستان اندروز (تگزاس)
Фурудгоҳи шаҳристон онҷлино (тигзос),فرودگاه شهرستان آنجلینا (تگزاس)
Фурудгоҳи шаҳристон орнзос (тигзос),فرودگاه شهرستان آرنزاس (تگزاس)
Фурудгоҳи шаҳристон остнли,فرودگاه شهرستان استنلی
Фурудгоҳи шаҳристон остотсбуру-булч,فرودگاه شهرستان استاتسبورو–بولچ
Фурудгоҳи шаҳристон отикукон,فرودگاه شهرستان اتیکوکان
Фурудгоҳи шаҳристон отин,فرودگاه شهرستان آتن
Фурудгоҳи шаҳристон откинсн,فرودگاه شهرستان اتکینسن
"Фурудгоҳи шаҳристон отлонто, мешегон",فرودگاه شهرستان آتلانتا، میشیگان
Фурудгоҳи шаҳристон оштбюло,فرودگاه شهرستان اشتبیولا
Фурудгоҳи шаҳристон ошҳ,فرودگاه شهرستان اشه
Фурудгоҳи шаҳристон ош‌лнд,فرودگاه شهرستان اش‌لند
Фурудгоҳи шаҳристон оюнио,فرودگاه شهرستان ایونیا
Фурудгоҳи шаҳристон роск (висконсин),فرودگاه شهرستان راسک (ویسکانسین)
Фурудгоҳи шаҳристон роск (тигзос),فرودگاه شهرستان راسک (تگزاس)
Фурудгоҳи шаҳристон сбостин,فرودگاه شهرستان سباستین
Фурудгоҳи шаҳристон син мркс,فرودگاه شهرستان سن مرکس
Фурудгоҳи шаҳристон синтионо-ҳорисун,فرودگاه شهرستان سینتیانا-هاریسون
Фурудгоҳи шаҳристон сирки,فرودگاه شهرستان سیرکی
Фурудгоҳи шаҳристон сисид,فرودگاه شهرستان سیسید
Фурудгоҳи шаҳристон скот,فرودگاه شهرستان سکات
Фурудгоҳи шаҳристон сктсбру,فرودگاه شهرستان اسکاتسبورو
Фурудгоҳи шаҳристон слинс,فرودگاه شهرستان سلینس
Фурудгоҳи шаҳристон снко,فرودگاه شهرستان سنکا
Фурудгоҳи шаҳристон совир,فرودگاه شهرستان ساویر
Фурудгоҳи шаҳристон солино,فرودگاه شهرستان سالینا
Фурудгоҳи шаҳристон солюон,فرودگاه شهرستان سالیوان
